title,terms,disabled,buying,selling,hr
"Early Payment Discount","1. A 2% discount will be applied if payment is received within 10 days.\n2. No discount is available after 10 days.\n3. Discount applies to invoice total excluding taxes.",0,1,1,0
"Late Delivery Penalty","1. If delivery is delayed beyond agreed timeline, a penalty of 0.5% per day will be charged.\n2. Maximum penalty capped at 10% of total invoice.\n3. Force majeure events are exempt.",0,1,0,0
"Shipping Responsibility","1. Seller is responsible for safe delivery until goods reach the buyer’s warehouse.\n2. Any damage during transit is the seller’s liability.\n3. Buyer must inspect goods within 48 hours of receipt.",0,1,1,0
"International Sales Terms","1. All international orders are subject to Incoterms 2020.\n2. Customs duties and import taxes are buyer’s responsibility.\n3. Payment must be made in USD unless otherwise agreed.",0,0,1,0
"Return Policy - 30 Days","1. Products can be returned within 30 days if unused and in original packaging.\n2. A restocking fee of 10% may apply.\n3. Refunds will be issued within 7 business days.",0,0,1,0
"Non-Disclosure Agreement (NDA)","1. Both parties agree to maintain confidentiality of all shared information.\n2. Information may only be disclosed with written consent.\n3. Breach of NDA may lead to legal action.",0,1,1,1
"Subcontractor Terms","1. Subcontractors must be pre-approved by the client.\n2. The company remains responsible for all deliverables.\n3. Confidentiality obligations extend to subcontractors.",0,0,1,1
"Subscription Terms - SaaS","1. Subscription is billed monthly in advance.\n2. Non-payment within 15 days leads to account suspension.\n3. Cancellations must be made 7 days before renewal date.",0,0,1,0
"Data Privacy Policy","1. All personal data will be processed in compliance with GDPR.\n2. Customer data will not be shared without consent.\n3. Data retention period is 5 years unless legally required.",0,0,1,1
"Intellectual Property Rights","1. All deliverables remain the intellectual property of the company until full payment.\n2. Upon payment, client receives full usage rights.\n3. Company retains the right to reuse non-confidential components.",0,0,1,0
"Force Majeure","1. Neither party will be liable for failure due to natural disasters, war, or strikes.\n2. Obligations will resume once conditions normalize.\n3. Contracts may be renegotiated in prolonged disruptions.",0,1,1,1
"Termination Clause","1. Either party may terminate this agreement with 30 days’ notice.\n2. Pending obligations must be fulfilled prior to termination.\n3. Breach of terms may lead to immediate termination.",0,1,1,1
"Training Services Terms","1. Training fees must be paid in full before the session.\n2. Cancellations within 48 hours are non-refundable.\n3. Materials provided are for internal use only.",0,0,1,0
"Consulting Services Agreement","1. Consulting services are billed hourly.\n2. Travel expenses are billed separately.\n3. Deliverables will be defined in the Statement of Work.",0,0,1,0
"Annual Maintenance Contract","1. Includes preventive maintenance visits twice a year.\n2. Spare parts are billed separately.\n3. Contract renews annually unless canceled in writing.",0,1,1,0
"Vendor Compliance Policy","1. All vendors must comply with company’s ethical standards.\n2. Non-compliance may result in termination of business.\n3. Vendor audits may be conducted periodically.",0,1,0,0
"Employee Non-Compete Agreement","1. Employee agrees not to join competitors for 12 months after leaving.\n2. Applies only to direct competitors in the same market.\n3. Violation may result in legal consequences.",0,0,0,1
"Work From Home Policy","1. Employees must be available during core working hours.\n2. Company equipment provided must be used only for work.\n3. Data security guidelines must be strictly followed.",0,0,0,1
"Expense Reimbursement Policy","1. Claims must be submitted within 30 days of expense.\n2. Only business-related expenses will be reimbursed.\n3. Receipts are mandatory for all claims.",0,0,0,1
"Probation Period Terms","1. Employees will undergo a probation period of 6 months.\n2. During probation, either party can terminate with 7 days’ notice.\n3. Benefits eligibility begins post-confirmation.",0,0,0,1
"Standard Payment Terms - 30 Days","1. Payment is due within 30 days of the invoice date.\n2. A finance charge of 1.5% per month will be applied to overdue balances.",0,1,1,0
