Attribute Name,Attribute ID,Description,Attribute Type,Required,Numeric Values,From Range,To Range,Increment,Category ID
Animal type,1308,"Specifies the type of animal a product is intended for, such as ducks, deer, or dogs",text,No,0,,,,sg-4-9-3-7-3
Color,1,"Defines the primary color or pattern, such as blue or striped",text,No,0,,,,vp-2-2-3
Pattern,3,"Describes the design or motif of a product, such as floral or striped",text,No,0,,,,vp-2-2-3
Material,4,"Defines a product's primary material, such as cotton or wool",text,No,0,,,,vp-1-7-9
Accessory size,50,"Defines the size of an accessory product, such as one size or compact",text,No,0,,,,vp-1-7-1-3
Bird cage/stand design,3218,"Identifies the style of bird cage or stand, e.g. dometop cage, wheeled stand",text,No,0,,,,ap-2-1-2
Bird food form,3219,"Describes the physical form of bird food, such as seeds or pellets",text,No,0,,,,ap-2-1-3
Bird food ingredients,3220,"Specifies the type of ingredients in bird feed, such as worms or sunflower seeds",text,No,0,,,,ap-2-1-3
Suitable for bird type,1697,"Matches products to specific bird species, e.g. canary, parrot",text,No,0,,,,ap-2-1-7
Toy/Game material,2896,"Identifies the main material used in a toy or game, such as plastic or wood",text,No,0,,,,tg-5-28
Bird treat type,3221,"Identifies the category of bird treats, such as biscuits or fruit",text,No,0,,,,ap-2-1-7
Package type,1456,"Defines the type of packaging for a product, e.g. jar, pump",text,No,0,,,,vp-1-5-2-6-4
Pet supply product form,1698,"Defines the format of a pet product, such as liquid, tablet, or spray",text,No,0,,,,ap-2-46-1
Cat age group,1699,"Defines products suitable for specific cat life stages, e.g. kitten, senior",text,No,0,,,,ap-2-2-6
Pet dietary requirements,1700,"Defines the nutritional benefits provided by a pet product, such as weight control or dental health",text,No,0,,,,ap-2-42
Pet food flavor,1701,"Specifies the taste profile of pet food products, e.g. banana, turkey",text,No,0,,,,ap-2-47-5-6
Pet food form,3222,"Indicates the consistency of pet food products, such as wet or dry",text,No,0,,,,ap-2-3-9
Pet food supplements,3223,"Identifies additives in pet food for nutritional benefits, like fish oil or probiotics",text,No,0,,,,ap-2-3-9
Furniture/Fixture material,2786,"Identifies the main material used in furniture or fixtures, like wood or metal",text,No,0,,,,tg-3-7-1
Cat litter formula,1702,"Defines the composition of cat litter, like granules or clay",text,No,0,,,,ap-2-2-4
Care instructions,2336,"Provides guidance for product upkeep, such as hand wash or dry clean only",text,No,0,,,,vp-1-7-6
Liner features,2972,"Describes specific characteristics of liners, such as leakproof or biodegradable",text,No,0,,,,bt-9-8-3
Usage type,843,"Specifies the product's intended use cycle, e.g. reusable, refillable",text,No,0,,,,sg-4-2-5
Pet treat type,3224,"Identifies the kind of pet treat, such as chewy or crunchy",text,No,0,,,,ap-2-3-9
Diaper features,2972,"Describes special characteristics of diapers, such as leakproof or hypoallergenic",text,No,0,,,,bt-9-12-5
Dog diaper size,50,"Specifies the size of dog diapers, e.g. Extra large (XL), Small (S)",text,No,0,,,,ap-2-3-2
Dog diaper type,3225,"Identifies the specific type of dog diaper, e.g. female adult, puppy",text,No,0,,,,ap-2-3-2
Dog age group,1703,"Helps sort dog supplies according to the dog's life stage, e.g. puppy, senior",text,No,0,,,,ap-2-3-9
Dog house features,2975,"Describes special characteristics of a dog house, like adjustable dimensions or UV protection",text,No,0,,,,ap-2-3-4
Suitable space,1214,"Defines the ideal location for product use, e.g. indoors, above ground",text,No,0,,,,tg-5-18-8
