Item Group,Parent Item Group,Is Group,Item Group Name,Description,Tags,Level,Category ID,Parent Category ID
All Item Groups,,1,All Item Groups,Root category for all item groups,,0,root,
Animals & Pet Supplies,Animals & Pet Supplies,1,Animals & Pet Supplies,,,1,ap,
Live Animals,Animals & Pet Supplies,0,Live Animals,,,2,ap-1,ap
Pet Supplies,Animals & Pet Supplies,0,Pet Supplies,,,2,ap-2,ap
Bird Supplies,Pet Supplies,0,Bird Supplies,,,2,ap-2-1,ap-2
Cat Supplies,Pet Supplies,0,Cat Supplies,,,2,ap-2-2,ap-2
Dog Supplies,Pet Supplies,0,Dog Supplies,,,2,ap-2-3,ap-2
Fish & Aquatic Supplies,Pet Supplies,0,Fish & Aquatic Supplies,,,2,ap-2-4,ap-2
Pet Agility Equipment,Pet Supplies,0,Pet Agility Equipment,,,2,ap-2-5,ap-2
Pet Apparel,Pet Supplies,0,Pet Apparel,,,2,ap-2-6,ap-2
Pet Apparel Hangers,Pet Supplies,0,Pet Apparel Hangers,,,2,ap-2-7,ap-2
Pet Bed Accessories,Pet Supplies,0,Pet Bed Accessories,,,2,ap-2-8,ap-2
Pet Beds,Pet Supplies,0,Pet Beds,,,2,ap-2-9,ap-2
Pet Bells & Charms,Pet Supplies,0,Pet Bells & Charms,,,2,ap-2-10,ap-2
Pet Biometric Monitors,Pet Supplies,0,Pet Biometric Monitors,,,2,ap-2-11,ap-2
Pet Bowl Mats,Pet Supplies,0,Pet Bowl Mats,,,2,ap-2-12,ap-2
Pet Bowl Stands,Pet Supplies,0,Pet Bowl Stands,,,2,ap-2-13,ap-2
"Pet Bowls, Feeders & Waterers",Pet Supplies,0,"Pet Bowls, Feeders & Waterers",,,2,ap-2-14,ap-2
Pet Carrier & Crate Accessories,Pet Supplies,0,Pet Carrier & Crate Accessories,,,2,ap-2-15,ap-2
Pet Carriers & Crates,Pet Supplies,0,Pet Carriers & Crates,,,2,ap-2-16,ap-2
Pet Collars & Harnesses,Pet Supplies,0,Pet Collars & Harnesses,,,2,ap-2-17,ap-2
Pet Containment Systems,Pet Supplies,0,Pet Containment Systems,,,2,ap-2-18,ap-2
Pet Door Accessories,Pet Supplies,0,Pet Door Accessories,,,2,ap-2-19,ap-2
Pet Doors,Pet Supplies,0,Pet Doors,,,2,ap-2-20,ap-2
Pet Eye Drops & Lubricants,Pet Supplies,0,Pet Eye Drops & Lubricants,,,2,ap-2-21,ap-2
Pet First Aid & Emergency Kits,Pet Supplies,0,Pet First Aid & Emergency Kits,,,2,ap-2-22,ap-2
Pet Flea & Tick Control,Pet Supplies,0,Pet Flea & Tick Control,,,2,ap-2-23,ap-2
Pet Food Containers,Pet Supplies,0,Pet Food Containers,,,2,ap-2-24,ap-2
Pet Food Scoops,Pet Supplies,0,Pet Food Scoops,,,2,ap-2-25,ap-2
Pet Grooming Supplies,Pet Supplies,0,Pet Grooming Supplies,,,2,ap-2-26,ap-2
Pet Heating Pad Accessories,Pet Supplies,0,Pet Heating Pad Accessories,,,2,ap-2-27,ap-2
Pet Heating Pads,Pet Supplies,0,Pet Heating Pads,,,2,ap-2-28,ap-2
Pet ID Tags,Pet Supplies,0,Pet ID Tags,,,2,ap-2-29,ap-2
Pet Leash Extensions,Pet Supplies,0,Pet Leash Extensions,,,2,ap-2-30,ap-2
Pet Leashes,Pet Supplies,0,Pet Leashes,,,2,ap-2-31,ap-2
Pet Medical Collars,Pet Supplies,0,Pet Medical Collars,,,2,ap-2-32,ap-2
Pet Medical Tape & Bandages,Pet Supplies,0,Pet Medical Tape & Bandages,,,2,ap-2-33,ap-2
Pet Medicine,Pet Supplies,0,Pet Medicine,,,2,ap-2-34,ap-2
Pet Muzzles,Pet Supplies,0,Pet Muzzles,,,2,ap-2-35,ap-2
Pet Oral Care Supplies,Pet Supplies,0,Pet Oral Care Supplies,,,2,ap-2-36,ap-2
Pet Steps & Ramps,Pet Supplies,0,Pet Steps & Ramps,,,2,ap-2-49,ap-2
Pet Strollers,Pet Supplies,0,Pet Strollers,,,2,ap-2-39,ap-2
Pet Sunscreen,Pet Supplies,0,Pet Sunscreen,,,2,ap-2-40,ap-2
Pet Training Aids,Pet Supplies,0,Pet Training Aids,,,2,ap-2-41,ap-2
Pet Vitamins & Supplements,Pet Supplies,0,Pet Vitamins & Supplements,,,2,ap-2-42,ap-2
Pet Waste Bag Dispensers & Holders,Pet Supplies,0,Pet Waste Bag Dispensers & Holders,,,2,ap-2-43,ap-2
Pet Waste Bags,Pet Supplies,0,Pet Waste Bags,,,2,ap-2-44,ap-2
Pet Waste Disposal Systems & Tools,Pet Supplies,0,Pet Waste Disposal Systems & Tools,,,2,ap-2-45,ap-2
Reptile & Amphibian Supplies,Pet Supplies,0,Reptile & Amphibian Supplies,,,2,ap-2-46,ap-2
Small Animal Supplies,Pet Supplies,0,Small Animal Supplies,,,2,ap-2-47,ap-2
Vehicle Pet Barriers,Pet Supplies,0,Vehicle Pet Barriers,,,2,ap-2-48,ap-2
Bird Supplies,Animals & Pet Supplies,1,Bird Supplies,,,1,ap-2-1,
Bird Cage Accessories,Bird Supplies,0,Bird Cage Accessories,,,2,ap-2-1-1,ap-2-1
Bird Cages & Stands,Bird Supplies,0,Bird Cages & Stands,,,2,ap-2-1-2,ap-2-1
Bird Food,Bird Supplies,0,Bird Food,,,2,ap-2-1-3,ap-2-1
Bird Gyms & Playstands,Bird Supplies,0,Bird Gyms & Playstands,,,2,ap-2-1-4,ap-2-1
Bird Ladders & Perches,Bird Supplies,0,Bird Ladders & Perches,,,2,ap-2-1-5,ap-2-1
Bird Toys,Bird Supplies,0,Bird Toys,,,2,ap-2-1-6,ap-2-1
Bird Treats,Bird Supplies,0,Bird Treats,,,2,ap-2-1-7,ap-2-1
Bird Cage Accessories,Animals & Pet Supplies,1,Bird Cage Accessories,,,1,ap-2-1-1,
Bird Cage Bird Baths,Bird Cage Accessories,0,Bird Cage Bird Baths,,,2,ap-2-1-1-1,ap-2-1-1
Bird Cage Food & Water Dishes,Bird Cage Accessories,0,Bird Cage Food & Water Dishes,,,2,ap-2-1-1-2,ap-2-1-1
Bird Cage Bird Baths,Animals & Pet Supplies,0,Bird Cage Bird Baths,,,1,ap-2-1-1-1,
Bird Cage Food & Water Dishes,Animals & Pet Supplies,1,Bird Cage Food & Water Dishes,,,1,ap-2-1-1-2,
Bird Cage Food Dishes,Bird Cage Food & Water Dishes,0,Bird Cage Food Dishes,,,2,ap-2-1-1-2-1,ap-2-1-1-2
