Category ID,Category Name,Parent Category ID,Parent Category Name,Level,Has Attributes,Has Children,Description,Tags
ap,Animals & Pet Supplies,,Animals & Pet Supplies,1,No,Yes,,
ap-1,Live Animals,ap,Animals & Pet Supplies,2,No,No,,
ap-2,Pet Supplies,ap,Animals & Pet Supplies,2,No,No,,
ap-1,Live Animals,,Animals & Pet Supplies,1,No,No,,
ap-2,Pet Supplies,,Animals & Pet Supplies,1,Yes,Yes,,
ap-2-1,Bird Supplies,ap-2,Pet Supplies,2,No,No,,
ap-2-2,Cat Supplies,ap-2,Pet Supplies,2,No,No,,
ap-2-3,Dog Supplies,ap-2,Pet Supplies,2,No,No,,
ap-2-4,Fish & Aquatic Supplies,ap-2,Pet Supplies,2,No,No,,
ap-2-5,Pet Agility Equipment,ap-2,Pet Supplies,2,No,No,,
ap-2-6,Pet Apparel,ap-2,Pet Supplies,2,No,No,,
ap-2-7,Pet Apparel Hangers,ap-2,Pet Supplies,2,No,No,,
ap-2-8,Pet Bed Accessories,ap-2,Pet Supplies,2,No,No,,
ap-2-9,Pet Beds,ap-2,Pet Supplies,2,No,No,,
ap-2-10,Pet Bells & Charms,ap-2,Pet Supplies,2,No,No,,
ap-2-11,Pet Biometric Monitors,ap-2,Pet Supplies,2,No,No,,
ap-2-12,Pet Bowl Mats,ap-2,Pet Supplies,2,No,No,,
ap-2-13,Pet Bowl Stands,ap-2,Pet Supplies,2,No,No,,
ap-2-14,"Pet Bowls, Feeders & Waterers",ap-2,Pet Supplies,2,No,No,,
ap-2-15,Pet Carrier & Crate Accessories,ap-2,Pet Supplies,2,No,No,,
ap-2-16,Pet Carriers & Crates,ap-2,Pet Supplies,2,No,No,,
ap-2-17,Pet Collars & Harnesses,ap-2,Pet Supplies,2,No,No,,
ap-2-18,Pet Containment Systems,ap-2,Pet Supplies,2,No,No,,
ap-2-19,Pet Door Accessories,ap-2,Pet Supplies,2,No,No,,
ap-2-20,Pet Doors,ap-2,Pet Supplies,2,No,No,,
ap-2-21,Pet Eye Drops & Lubricants,ap-2,Pet Supplies,2,No,No,,
ap-2-22,Pet First Aid & Emergency Kits,ap-2,Pet Supplies,2,No,No,,
ap-2-23,Pet Flea & Tick Control,ap-2,Pet Supplies,2,No,No,,
ap-2-24,Pet Food Containers,ap-2,Pet Supplies,2,No,No,,
ap-2-25,Pet Food Scoops,ap-2,Pet Supplies,2,No,No,,
ap-2-26,Pet Grooming Supplies,ap-2,Pet Supplies,2,No,No,,
ap-2-27,Pet Heating Pad Accessories,ap-2,Pet Supplies,2,No,No,,
ap-2-28,Pet Heating Pads,ap-2,Pet Supplies,2,No,No,,
ap-2-29,Pet ID Tags,ap-2,Pet Supplies,2,No,No,,
ap-2-30,Pet Leash Extensions,ap-2,Pet Supplies,2,No,No,,
ap-2-31,Pet Leashes,ap-2,Pet Supplies,2,No,No,,
ap-2-32,Pet Medical Collars,ap-2,Pet Supplies,2,No,No,,
ap-2-33,Pet Medical Tape & Bandages,ap-2,Pet Supplies,2,No,No,,
ap-2-34,Pet Medicine,ap-2,Pet Supplies,2,No,No,,
ap-2-35,Pet Muzzles,ap-2,Pet Supplies,2,No,No,,
ap-2-36,Pet Oral Care Supplies,ap-2,Pet Supplies,2,No,No,,
ap-2-49,Pet Steps & Ramps,ap-2,Pet Supplies,2,No,No,,
ap-2-39,Pet Strollers,ap-2,Pet Supplies,2,No,No,,
ap-2-40,Pet Sunscreen,ap-2,Pet Supplies,2,No,No,,
ap-2-41,Pet Training Aids,ap-2,Pet Supplies,2,No,No,,
ap-2-42,Pet Vitamins & Supplements,ap-2,Pet Supplies,2,No,No,,
